name,year_founded,is_indie
Nintendo,1889,false
Valve Corporation,1996,false
Rockstar Games,1998,false
Electronic Arts (EA),1982,false
Activision Blizzard,2008,false
Sony Interactive Entertainment,1993,false
Ubisoft,1986,false
Square Enix,1975,false
Tencent Games,2003,false
Epic Games,1991,false
Capcom,1979,false
Bandai Namco Entertainment,1955,false
Konami,1969,false
Sega,1940,false
Bethesda Softworks,1986,false
2K,2005,false
FromSoftware,1986,false
Bungie,1991,false
Blizzard Entertainment,1991,false
CD Projekt,1994,false
Riot Games,2006,false
BioWare,1995,false
Naughty Dog,1984,false
Gearbox Software,1999,false
Insomniac Games,1994,false
Kojima Productions,2005,false
Square,1986,false
Crystal Dynamics,1992,false
Respawn Entertainment,2010,false
PlatinumGames,2006,false
Monolith Productions,1994,false
Codemasters,1986,false
Remedy Entertainment,1995,false
IO Interactive,1998,false
Turn 10 Studios,2001,false
Hangar 13,2014,false
Guerrilla Games,2000,false
Larian Studios,1996,false
Arc System Works,1988,false
Double Fine Productions,2000,false
Playtonic Games,2014,true
Moon Studios,2010,true
Supergiant Games,2009,true
Playdead,2006,true
Hello Games,2008,true
Thunder Lotus Games,2014,true
Giant Sparrow,2008,true
Thatgamecompany,2006,true
Stoic Studio,2012,true
Mobius Digital,2012,true
Innersloth,2015,true